CellId, SiteId, PCI, EARFCN, PlanFlag
LD31G68E,LD31G68-F38098,236,38098,0
LD31G68F,LD31G68-F38098,234,38098,0
LF31G68A,LF31G68-F38400,339,38400,0
LF31G68B,LF31G68-F38400,340,38400,0
LF31G68C,LF31G68-F38400,341,38400,0
LD31G69A,LD31G69-F37900,126,37900,0
LD31G69B,LD31G69-F37900,128,37900,0
LD31G69C,LD31G69-F37900,127,37900,0
LD31G69D,LD31G69-F38098,238,38098,0
LD31G69E,LD31G69-F38098,239,38098,0
LD31G69F,LD31G69-F38098,237,38098,0
LF31G69A,LF31G69-F38400,351,38400,0
LF31G69B,LF31G69-F38400,352,38400,0
LF31G69C,LF31G69-F38400,353,38400,0
LD31G71A,LDF31G71-F37900,222,37900,0
LD31G71B,LDF31G71-F37900,223,37900,0
LD31G71C,LDF31G71-F37900,224,37900,0
LF31G71A,LDF31G71-F38400,139,38400,0
LF31G71B,LDF31G71-F38400,140,38400,0
LF31G71C,LDF31G71-F38400,138,38400,0
LD31G72A,LD31G72-F37900,342,37900,0
LD31G72B,LD31G72-F37900,343,37900,0
LD31G72C,LD31G72-F37900,344,37900,0
LF31G72A,LF31G72-F38400,88,38400,0
LF31G72B,LF31G72-F38400,89,38400,0
LF31G72C,LF31G72-F38400,87,38400,0
LD31G73A,LD31G73-F37900,399,37900,0
LD31G73B,LD31G73-F37900,401,37900,0
LD31G73C,LD31G73-F37900,400,37900,0
LF31G73A,LF31G73-F38400,96,38400,0
LF31G73B,LF31G73-F38400,97,38400,0
LF31G73C,LF31G73-F38400,98,38400,0
LD31G74A,LDF31G74-F37900,65,37900,0
LD31G74B,LDF31G74-F37900,64,37900,0
LD31G74C,LDF31G74-F38098,63,38098,0
LF31G74A,LDF31G74-F38400,131,38400,0
LF31G74B,LDF31G74-F38400,129,38400,0
LF31G74C,LDF31G74-F38400,130,38400,0
LD31G75A,LDF31G75-F37900,381,37900,1
LD31G75B,LDF31G75-F37900,382,37900,1
LD31G75C,LDF31G75-F37900,383,37900,1
LD31G75D,LDF31G75-F38098,501,38098,1
LD31G75E,LDF31G75-F38098,502,38098,1
LD31G75F,LDF31G75-F38098,503,38098,1
LF31G75A,LF31G75-F38400,321,38400,1
LF31G75B,LF31G75-F38400,323,38400,1
LF31G75C,LF31G75-F38400,322,38400,1
LD31G76A,LDF31G76-F37900,15,37900,0
LD31G76B,LDF31G76-F37900,16,37900,0
LD31G76C,LDF31G76-F37900,17,37900,0
LF31G76A,LF31G76-F38400,415,38400,0
LF31G76B,LF31G76-F38400,414,38400,0
LF31G76C,LF31G76-F38400,416,38400,0
LD31G78A,LDF31G78-F37900,69,37900,0
LD31G78B,LDF31G78-F37900,70,37900,0
LD31G78C,LDF31G78-F37900,71,37900,0
LF31G78A,LDF31G78-F38400,179,38400,0
LF31G78B,LDF31G78-F38400,178,38400,0
LF31G78C,LDF31G78-F38400,177,38400,0
LD31G79A,LD31G79-F37900,56,37900,0
LD31G79B,LD31G79-F37900,55,37900,0
LD31G79C,LD31G79-F37900,54,37900,0
LD31G79D,LD31G79-F38098,49,38098,0
LD31G79E,LD31G79-F38098,48,38098,0
LD31G79F,LD31G79-F38098,50,38098,0
LF31G80A,LDF31G80-F38400,365,38400,0
LF31G80B,LDF31G80-F38400,363,38400,0
LF31G80C,LDF31G80-F38400,364,38400,0
LD31G81A,LD31G81-F37900,371,37900,0
LD31G81B,LD31G81-F37900,370,37900,0
LD31G81C,LD31G81-F37900,369,37900,0
LD31G81D,LD31G81-F38098,245,38098,0
LD31G81E,LD31G81-F38098,243,38098,0
LD31G81F,LD31G81-F38098,244,38098,0
LF31G81A,LF31G81-F38400,369,38400,0
LD31G82A,LD31G82-F37900,309,37900,0
LD31G82B,LD31G82-F37900,310,37900,0
LD31G82C,LD31G82-F37900,311,37900,0
LF31G82A,LF31G82-F38400,243,38400,0
LF31G82B,LF31G82-F38400,244,38400,0
LF31G82C,LF31G82-F38400,245,38400,0
LD31G83A,LDF31G83-F38098,189,38098,1
LD31G83B,LDF31G83-F38098,190,38098,1
LD31G83C,LDF31G83-F37900,190,37900,1
LF31G83A,LDF31G83-F38400,296,38400,1
LF31G83B,LDF31G83-F38400,295,38400,1
